time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446700000	18.0065	6.13942	4.88704	0.907787	0.407982	lidar	0.803737	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.157	6.34565	4.90897	0.931041	0.410477	radar	0.740736	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2779	6.58584	4.94342	0.972705	0.435568	lidar	0.625768	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4101	6.79839	4.93908	1.00003	0.444632	radar	0.241648	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5583	6.9321	4.85127	0.99264	0.410006	lidar	1.88944	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7088	7.13787	4.90025	1.00136	0.388385	radar	0.731823	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9066	7.27476	4.8541	0.976795	0.336587	lidar	3.88357	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9955	7.47375	4.76113	1.01671	0.376368	radar	3.8905	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.085	7.74223	4.82782	1.06639	0.412645	lidar	1.40934	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.207	7.9475	4.83303	1.08024	0.401946	radar	0.281454	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2855	8.16544	4.81657	1.11272	0.416492	lidar	1.32564	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3856	8.37485	4.82559	1.12788	0.403241	radar	2.23251	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.481	8.52044	4.71421	1.13005	0.38276	lidar	3.54079	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5733	8.72633	4.68398	1.15229	0.390641	radar	0.512208	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
